file,page,holds,already_extracted_from
"2005 Annual Budget, Volume 1.pdf",5,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",7,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",63,summary_block,yes
"2005 Annual Budget, Volume 1.pdf",64,multiyear_table pie,yes
"2005 Annual Budget, Volume 1.pdf",65,pie,no
"2005 Annual Budget, Volume 1.pdf",67,pie,no
"2005 Annual Budget, Volume 1.pdf",69,pie,no
"2005 Annual Budget, Volume 1.pdf",70,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",71,multiyear_table,yes
"2005 Annual Budget, Volume 1.pdf",72,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",73,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",75,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",76,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",77,multiyear_table,yes
"2005 Annual Budget, Volume 1.pdf",78,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",82,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",89,multiyear_table,yes
"2005 Annual Budget, Volume 1.pdf",113,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",117,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",121,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",125,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",128,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",129,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",132,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",137,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",141,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",144,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",150,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",157,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",164,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",169,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",174,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",178,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",186,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",193,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",194,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",196,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",199,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",201,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",206,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",208,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",212,multiyear_table,no
"2005 Annual Budget, Volume 1.pdf",214,multiyear_table,no
"2006-2007 Annual Budget, Volume 1.pdf",5,multiyear_table,no
"2006-2007 Annual Budget, Volume 1.pdf",8,multiyear_table,no
"2006-2007 Annual Budget, Volume 1.pdf",40,multiyear_table,no
"2006-2007 Annual Budget, Volume 1.pdf",58,summary_block,yes
"2006-2007 Annual Budget, Volume 1.pdf",59,multiyear_table pie,yes
"2006-2007 Annual Budget, Volume 1.pdf",60,pie,no
"2006-2007 Annual Budget, Volume 1.pdf",62,pie,no
"2006-2007 Annual Budget, Volume 1.pdf",63,pie,no
"2006-2007 Annual Budget, Volume 1.pdf",64,multiyear_table,yes
"2006-2007 Annual Budget, Volume 1.pdf",65,multiyear_table,no
"2006-2007 Annual Budget, Volume 1.pdf",66,multiyear_table,no
"2006-2007 Annual Budget, Volume 1.pdf",69,multiyear_table,no
"2006-2007 Annual Budget, Volume 1.pdf",70,multiyear_table,no
"2006-2007 Annual Budget, Volume 1.pdf",71,multiyear_table,yes
"2006-2007 Annual Budget, Volume 1.pdf",72,multiyear_table,no
"2006-2007 Annual Budget, Volume 1.pdf",76,multiyear_table,no
"2006-2007 Annual Budget, Volume 1.pdf",83,multiyear_table,yes
"2006-2007 Annual Budget, Volume 1.pdf",106,multiyear_table,no
"2006-2007 Annual Budget, Volume 1.pdf",110,multiyear_table,no
"2006-2007 Annual Budget, Volume 1.pdf",118,multiyear_table,no
"2006-2007 Annual Budget, Volume 1.pdf",124,multiyear_table,no
