source_id,title,publisher,date,url,retrieved,n_values,notes
rec2026,2026 Recommended Budget: City Council study session presentation,City of Boulder,2025-09-11,https://bouldercolorado.gov/services/budget,2026-08-29,13,Forecasted 2026 revenues by source; 2026 gap; new fee measures.
forecast2026,"2026 Financial Forecast: City Council study session packet (May 14, 2026)",City of Boulder,2026-05-14,https://bouldercolorado.gov/services/budget,2026-08-29,87,Sales/use tax and property tax tables; 2023-2026 budget history narrative; 2027 gap forecast.
rec2027,City Manager Releases Balanced Budget With Focus on Critically Vital Services and Community Input About Priorities,City of Boulder,2026-08-28,https://bouldercolorado.gov/news/city-manager-releases-balanced-budget-focus-critically-vital-services-and-community-input,2026-09-21,9,"The 2027 Recommended Budget news release. 2027 totals, General Fund, gap, position changes."
glance2027,Budget At-A-Glance (2027),City of Boulder,,https://bouldercolorado.gov/budget-glance,2026-09-21,6,"2027 year-over-year percentages, General Fund included; position adds and freezes. A web page with no date of its own, published with the 2027 Recommended Budget on 2026-08-28."
recbook2027,2027 Recommended Budget: online budget book (Budget in Brief and Budget in Brief - Continued),City of Boulder,,https://stories.opengov.com/cityofboulderco/68d0bc8f-fb31-4578-a8af-59594ef78e4d/published/hgCyk4CwB,2026-09-25,43,"The city's 2027 budget book, published on OpenGov Stories and read in a browser. Budget in Brief: the citywide sources, General Fund sources and citywide uses by department tables, portal views of dataset 188635 that print 2025, 2026 and 2027 Budget columns to the dollar, and the staffing levels by department table. Budget in Brief - Continued: the mill levy table's projected 2027 revenue, with charts of sales and property tax collections for 2023-2027 that sum to the same figures. No date of its own; its tables say ""Data Updated: Aug 22, 2026""."
snapshot2023,"2023 Budget: Sources & Uses Citywide, Types (OpenGov dataset 65843, CSV export)",City of Boulder,,https://cityofboulderco.opengov.com/transparency/#/65843/accountType=revenuesVersusExpenses&breakdown=types&year=2023,2026-09-21,81,"Citywide gross sources & uses, 2021 actual / 2022 adopted / 2023 total budget. Different basis from the budget_* headline totals -- see the data dictionary."
books,"City of Boulder annual budget books, 2005-2026 (summary pages)",City of Boulder,,https://documents.bouldercolorado.gov/WebLink/Browse.aspx?id=187445&dbid=0&repo=LF8PROD2,2026-09-22,212,"The 34 PDF volumes of the 2005-2026 annual budgets, read from the text pypdf extracts. The figures come in a handful of shapes: prose, self-checking citywide summary blocks, three- and four-year-wide Sources/Uses/FTE tables (before 2012), staffing tables by department, Funds Summary tables, and the citywide spending and revenue charts. Where these overlap the council packets, 10 of 12 values match exactly."
deptsnapshot2026,"2026 Budget: Sources and Uses, Cost Centers (OpenGov transparency view, CSV export)",City of Boulder,,https://cityofboulderco.opengov.com/transparency,2026-09-22,24,"Expenses by cost center, 2024/2025/2026 adopted. Exported with a 23-fund filter that omits the utility, debt-service and internal-service funds, so the twenty cost centers fall $108-116M short of the citywide total -- carried as deptexpfiltered_funds_outside_export. No revenue side in this export."
booksocr,"City of Boulder annual budget books, pages read by OCR (Datalab)",City of Boulder,,https://documents.bouldercolorado.gov/WebLink/Browse.aspx?id=187445&dbid=0&repo=LF8PROD2,2026-09-23,228,"Same books as `books`, but pages pypdf cannot reach or cannot use, read by Datalab through budget-books-ocr.py: the 2007, 2009 and 2010 Volume 1s, which survive only as scans, and born-digital pages with interleaved pie labels, dropped commas or figures inside images, or that the page dump never held. A pie or summary block is kept only when it sums to a total the same page prints, and a multi-year table value only when its column header names the year and basis. A staffing table is kept only when its columns sum to the totals it prints; the single staffing figures, 2002 and 2024 and 2022's restatement, are kept on their wording and context. The data dictionary's caveat on OCR lists what was read wrong and not kept."
acfr,"City of Boulder Annual Comprehensive Financial Reports, fiscal years 2016-2025",City of Boulder,,https://bouldercolorado.gov/annual-comprehensive-financial-report-popular-annual-financial-report,2026-09-24,1541,"The audited annual reports, in raw-acfr/, read from the PDF text layer by acfr-extract.py. Five tables: tax revenue in Changes in Fund Balances of the governmental funds (modified accrual), full-time equivalent employees by function, taxable sales by market sector, the legal debt margin's assessed value, and the General Fund's budget-and-actual statement. A figure is used only if Datalab's OCR of the same page reads it the same way, another report prints it identically, or the page's own sums pin it down; see acfr-extracted.csv."
acfrocr,"City of Boulder Annual Comprehensive Financial Reports, pages read by OCR (Datalab)",City of Boulder,,https://bouldercolorado.gov/annual-comprehensive-financial-report-popular-annual-financial-report,2026-09-24,299,"Same reports as `acfr`, where the figure used is Datalab's reading and not the text layer's: all of the 2021 report, whose statistical section is the city's own OCR of a scan, and the 2023 report, whose text layer is font codes; and cells elsewhere that the text layer could not place. Each is confirmed by another report printing it, or by its own page's sums."
brl2027,Boulder's proposed 2027 budget would cut 13 filled jobs and trim pool hours,Boulder Reporting Lab,2026-09-08,https://boulderreportinglab.org/2026/09/08/boulders-proposed-2027-budget-would-cut-13-filled-jobs-and-trim-pool-hours/,2026-09-21,1,"Staffing savings: ""about $3 million, according to a city official."""
