year,budget_total,budget_total_basis,budget_operating,budget_operating_basis,budget_capital,budget_capital_basis,budget_general_fund,budget_general_fund_basis,budget_general_fund_revenue,budget_general_fund_revenue_basis,staffing_fte,staffing_fte_basis,revenue_total,revenue_total_basis,revenue_sales_use_tax,revenue_sales_use_tax_basis,revenue_property_tax,revenue_property_tax_basis,revenue_utility,revenue_utility_basis,salesuse_total,salesuse_total_basis,property_tax_revenue,property_tax_revenue_basis,gap_general_fund,gap_general_fund_basis
2002,,,,,,,,,,,1304.69,adopted,,,,,,,,,,,,,,
2003,,,,,,,,,,,1290.69,adopted,,,,,,,,,,,,,,
2004,188.145,adopted,,,,,77.526,adopted,77.962,adopted,1200.68,adopted,,,,,,,,,,,,,,
2005,196.167,adopted,167.059,adopted,29.108,adopted,80.059,adopted,80.091,adopted,1212.11,adopted,185.885,adopted,71.24,adopted,20.432,adopted,38.422,adopted,,,,,,
2006,200.1,adopted,170.647,adopted,29.453,adopted,82.623,adopted,82.637,adopted,1218.84,adopted,192.22,adopted,75.351,adopted,20.657,adopted,39.737,adopted,,,,,,
2007,223.56,adopted,188.03,adopted,35.53,adopted,89.65,adopted,88.52,adopted,1251.34,adopted,213.503,adopted,81.567,adopted,21.487,adopted,41.691,adopted,88.403,actual,20.475,actual,,
2008,237.781,adopted,200.487,adopted,37.294,adopted,94.238,adopted,93.358,adopted,1281.17,adopted,224.261,adopted,87.729,adopted,22.028,adopted,43.496,adopted,84.867,actual,21.865,actual,,
2009,242.706,adopted,201.992,adopted,40.714,adopted,97.219,adopted,96.167,adopted,1288.52,adopted,230.643,adopted,90.091,adopted,23.153,adopted,44.264,adopted,85.457,actual,23.526,actual,,
2010,230.149,adopted,201.678,adopted,28.471,adopted,96.713,adopted,96.746,adopted,1248.24,adopted,224.268,adopted,84.563,adopted,26.555,adopted,44.137,adopted,87.802,actual,26.022,actual,,
2011,231.03,adopted,206.317,adopted,24.713,adopted,100.449,adopted,99.761,adopted,1228.5,adopted,224.912,adopted,86.57,adopted,28.563,adopted,44.905,adopted,92.627,actual,27.462,actual,,
2012,238.96,adopted,214.979,adopted,23.981,adopted,104.234,adopted,104.299,adopted,1243.2,adopted,231.945,adopted,93.209,adopted,30.868,adopted,45.392,adopted,97.397,actual,29.474,actual,,
2013,254.693,adopted,221.266,adopted,33.427,adopted,112.477,adopted,109.752,adopted,1260.62,adopted,248.484,adopted,97.528,adopted,31.732,adopted,47.626,adopted,104.136,actual,29.434,actual,,
2014,269.496,adopted,227.45,adopted,42.046,adopted,115.684,adopted,115.046,adopted,1286.01,adopted,260.471,adopted,102.779,adopted,32.356,adopted,48.274,adopted,116.316,actual,30.353,actual,,
2015,319.096,adopted,250.444,adopted,68.652,adopted,128.483,adopted,120.575,adopted,1358.77,adopted,313.338,adopted,115.396,adopted,32.345,adopted,69.251,adopted,131.323,actual,30.846,actual,,
2016,327.699,adopted,254.395,adopted,73.304,adopted,132.268,adopted,128.264,adopted,1419.12,adopted,319.535,adopted,124.602,adopted,33.442,adopted,62.285,adopted,136.269,actual,36.897,actual,,
2017,321.866,adopted,260.677,adopted,61.189,adopted,139.792,adopted,138.075,adopted,1447.36,adopted,315.525,adopted,127.931,adopted,39.047,adopted,60.988,adopted,131.857,actual,37.252,actual,,
2018,389.21,adopted,277.556,adopted,111.654,adopted,146.321,adopted,143.493,adopted,1451.09,adopted,390.898,adopted,125.998,adopted,46.451,adopted,65.155,adopted,146.4,actual,43.7,actual,,
2019,353.746,adopted,283.2,adopted,70.557,adopted,158.16,adopted,152.597,adopted,1432.58,adopted,359.02,adopted,136.327,adopted,47.656,adopted,65.978,adopted,144.025,actual,43.156,actual,,
2020,369.718,adopted,288.95,adopted,80.768,adopted,161.503,adopted,157.395,adopted,1475.36,adopted,360.263,adopted,137.718,adopted,49.969,adopted,69.415,adopted,137.34,actual,47.804,actual,,
2021,341.744,adopted,272.318,adopted,69.426,adopted,146.3,adopted,147.3,adopted,1375.83,adopted,337.7,adopted,129.93,adopted,50.267,adopted,71.918,adopted,154.694,actual,47.945,actual,,
2022,462.519,adopted,300.094,adopted,162.425,adopted,164.657,adopted,166.602,adopted,1460.71,adopted,471.372,adopted,141.002,adopted,53.117,adopted,76.474,adopted,171.335,actual,51.558,actual,,
2023,515.4,adopted,354.6,adopted,160.8,adopted,188.4,adopted,180.5,adopted,1540.09,adopted,492.0,adopted,173.349,adopted,53.052,adopted,83.184,adopted,178.213,actual,49.283,actual,,
2024,515.4,adopted,374.2,adopted,141.2,adopted,196.2,adopted,200.5,adopted,1509.13,adopted,461.9,adopted,176.867,adopted,61.217,adopted,89.584,adopted,176.403,actual,61.254,actual,,
2025,589.3,adopted,399.3,adopted,189.9,adopted,210.9,adopted,190.6,adopted,1539.1,adopted,492.5,adopted,180.169,adopted,59.645,adopted,94.117,adopted,182.366,actual,58.521,actual,,
2026,521.0,adopted,407.7,adopted,113.3,adopted,194.5,adopted,198.8,adopted,1548.28,adopted,507.2,adopted,179.64,adopted,61.732,adopted,97.445,adopted,179.64,adopted,59.17,adopted,7.5,identified
2027,552.6,recommended,417.24,recommended,135.36,recommended,200.5,recommended,,,,,,,,,,,,,,,,,6.3,recommended
