year,measure,basis,value,unit,source_id
2002,staffing_fte,adopted,1304.69,fte,booksocr
2003,budget_general_fund_revenue,actual,87.252,musd,books
2003,staffing_fte,adopted,1290.69,fte,books
2004,budget_general_fund_revenue,actual,80.27,musd,books
2004,budget_general_fund_revenue,adopted,77.962,musd,books
2004,budget_total,adopted,188.145,musd,books
2004,staffing_fte,adopted,1200.68,fte,books
2005,budget_capital,adopted,29.108,musd,books
2005,budget_general_fund,actual,86.415,musd,booksocr
2005,budget_general_fund_revenue,actual,86.148,musd,booksocr
2005,budget_general_fund_revenue,adopted,80.091,musd,books
2005,budget_operating,adopted,167.059,musd,books
2005,budget_operating_dedicated,adopted,97.989,musd,books
2005,budget_operating_general,adopted,69.07,musd,books
2005,budget_total,adopted,196.167,musd,books
2005,deptexp_administration,adopted,25.509,musd,books
2005,deptexp_citywide_debt,adopted,2.668,musd,books
2005,deptexp_community_services,adopted,18.933,musd,books
2005,deptexp_infrastructure,adopted,67.43,musd,books
2005,deptexp_parks_openspace,adopted,41.718,musd,books
2005,deptexp_planning_climate,adopted,6.233,musd,books
2005,deptexp_public_safety,adopted,33.676,musd,books
2005,revenue_intergovernmental,adopted,7.588,musd,books
2005,revenue_other_unmapped,adopted,48.203,musd,books
2005,revenue_property_tax,adopted,20.432,musd,books
2005,revenue_sales_use_tax,adopted,71.24,musd,books
2005,revenue_total,adopted,185.885,musd,books
2005,revenue_utility,adopted,38.422,musd,books
2005,staffing_fte,adopted,1212.11,fte,books
2006,budget_capital,adopted,29.453,musd,books
2006,budget_general_fund,actual,89.123,musd,books
2006,budget_general_fund,adopted,82.623,musd,booksocr
2006,budget_general_fund_revenue,adopted,82.637,musd,books
2006,budget_operating,adopted,170.647,musd,books
2006,budget_operating_dedicated,adopted,99.381,musd,books
2006,budget_operating_general,adopted,71.266,musd,books
2006,budget_total,adopted,200.1,musd,books
2006,deptexp_administration,adopted,27.057,musd,books
2006,deptexp_citywide_debt,adopted,2.317,musd,books
2006,deptexp_community_services,adopted,19.767,musd,books
2006,deptexp_infrastructure,adopted,66.734,musd,books
2006,deptexp_parks_openspace,adopted,43.087,musd,books
2006,deptexp_planning_climate,adopted,6.465,musd,books
2006,deptexp_public_safety,adopted,34.673,musd,books
2006,revenue_intergovernmental,adopted,7.622,musd,books
2006,revenue_other_unmapped,adopted,48.853,musd,books
2006,revenue_property_tax,adopted,20.657,musd,books
2006,revenue_sales_use_tax,adopted,75.351,musd,books
2006,revenue_total,adopted,192.22,musd,books
2006,revenue_utility,adopted,39.737,musd,books
2006,staffing_fte,adopted,1218.84,fte,books
2007,budget_capital,adopted,35.53,musd,booksocr
2007,budget_general_fund,actual,97.173,musd,booksocr
2007,budget_general_fund,adopted,89.65,musd,books
2007,budget_general_fund_revenue,actual,94.141,musd,booksocr
2007,budget_general_fund_revenue,adopted,88.52,musd,booksocr
2007,budget_general_fund_revenue,projected,85.017,musd,books
2007,budget_operating,adopted,188.03,musd,booksocr
2007,budget_operating_dedicated,adopted,110.717,musd,booksocr
2007,budget_operating_general,adopted,77.313,musd,booksocr
2007,budget_total,adopted,223.56,musd,booksocr
2007,budget_total,restated,224.336,musd,booksocr
2007,deptexp_administration,adopted,29.306,musd,booksocr
2007,deptexp_citywide_debt,adopted,2.317,musd,booksocr
2007,deptexp_community_services,adopted,20.503,musd,booksocr
2007,deptexp_infrastructure,adopted,79.216,musd,booksocr
2007,deptexp_parks_openspace,adopted,47.486,musd,booksocr
2007,deptexp_planning_climate,adopted,6.849,musd,booksocr
2007,deptexp_public_safety,adopted,37.883,musd,booksocr
2007,revenue_intergovernmental,adopted,19.011,musd,booksocr
2007,revenue_other_unmapped,adopted,49.747,musd,booksocr
2007,revenue_property_tax,adopted,21.487,musd,booksocr
2007,revenue_sales_use_tax,adopted,81.567,musd,booksocr
2007,revenue_total,adopted,213.503,musd,booksocr
2007,revenue_utility,adopted,41.691,musd,booksocr
2007,staffing_fte,adopted,1251.34,fte,books
2008,budget_capital,adopted,37.294,musd,books
2008,budget_general_fund,actual,99.905,musd,booksocr
2008,budget_general_fund,adopted,94.238,musd,books
2008,budget_general_fund_revenue,actual,97.578,musd,booksocr
2008,budget_general_fund_revenue,adopted,93.358,musd,booksocr
2008,budget_operating,adopted,200.487,musd,books
2008,budget_operating_dedicated,adopted,120.021,musd,books
2008,budget_operating_general,adopted,80.466,musd,books
2008,budget_total,adopted,237.781,musd,books
2008,deptexp_administration,adopted,34.329,musd,booksocr
2008,deptexp_citywide_debt,adopted,2.311,musd,booksocr
2008,deptexp_community_services,adopted,21.114,musd,booksocr
2008,deptexp_infrastructure,adopted,84.416,musd,booksocr
2008,deptexp_parks_openspace,adopted,48.449,musd,booksocr
2008,deptexp_planning_climate,adopted,7.605,musd,booksocr
2008,deptexp_public_safety,adopted,39.557,musd,booksocr
2008,revenue_intergovernmental,adopted,14.39,musd,booksocr
2008,revenue_other_unmapped,adopted,56.618,musd,booksocr
2008,revenue_property_tax,adopted,22.028,musd,booksocr
2008,revenue_sales_use_tax,adopted,87.729,musd,booksocr
2008,revenue_total,adopted,224.261,musd,booksocr
2008,revenue_utility,adopted,43.496,musd,booksocr
2008,staffing_fte,adopted,1281.17,fte,books
2009,budget_capital,adopted,40.714,musd,booksocr
2009,budget_general_fund,actual,105.848,musd,books
2009,budget_general_fund,adopted,97.219,musd,booksocr
2009,budget_general_fund,projected,95.883,musd,books
2009,budget_general_fund_revenue,actual,104.02,musd,books
2009,budget_general_fund_revenue,adopted,96.167,musd,booksocr
2009,budget_operating,adopted,201.992,musd,booksocr
2009,budget_operating_dedicated,adopted,119.09,musd,booksocr
2009,budget_operating_general,adopted,82.902,musd,booksocr
2009,budget_total,adopted,242.706,musd,booksocr
2009,deptexp_administration,adopted,33.969,musd,booksocr
2009,deptexp_citywide_debt,adopted,2.261,musd,booksocr
2009,deptexp_community_services,adopted,23.025,musd,booksocr
2009,deptexp_infrastructure,adopted,82.647,musd,booksocr
2009,deptexp_parks_openspace,adopted,51.399,musd,booksocr
2009,deptexp_planning_climate,adopted,8.147,musd,booksocr
2009,deptexp_public_safety,adopted,41.258,musd,booksocr
2009,revenue_intergovernmental,adopted,12.901,musd,booksocr
2009,revenue_other_unmapped,adopted,60.234,musd,booksocr
2009,revenue_property_tax,adopted,23.153,musd,booksocr
2009,revenue_sales_use_tax,adopted,90.091,musd,booksocr
2009,revenue_total,adopted,230.643,musd,booksocr
2009,revenue_utility,adopted,44.264,musd,booksocr
2009,staffing_fte,adopted,1288.52,fte,books
2010,budget_capital,adopted,28.471,musd,booksocr
